,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,(-0.6151275829956734+2.1604364522044412j),(-0.11735968570005646+0.7449774785596301j),(-0.4062575075582447+0.5792854157702214j),(-0.01592702949725669+0.3047240648756693j),(0.17052622654714752+0.4069833189455319j),(-0.10384021650933331+0.5188977883521609j),(-0.1517960843736372+0.6048158883559246j),(0.08216966355266281+0.8039142170943265j),(-0.10372863150378818+0.7144353648871195j),(5.584561503955925+0.8878454636396357j),(-0.3826108476274787+0.7536092472954284j),(-0.47868635156664074+1.650661965907784j),(-0.13838340002888644+1.091419865412944j),(-0.13631811540613506+1.2399051842436342j),(-0.07659898260092994+1.3039850164478408j),(-0.14039894732770436+1.5508445923451972j),(-0.16798912153334233+1.3061532583104742j),(-0.24707689907673588+1.4949456943124457j),(0.2971208734308471+1.7708137387884795j),(-0.22230739300411748+1.3538854695630596j),(-0.138690491299387+1.1167101870497735j),(0.07649258356446714+2.054658046679139j),(-0.4258493635087597+1.1346174435596172j),(19.186062847731513-7.256261407237474j),(-0.3364526894485706+3.4810748679530525j),(0.42820830530923354+2.458498160916851j),(-0.3976937909016796+4.864009706660202j),(-1.9691063620664702+4.502620135472248j)
1,(-0.6487696509264147+2.149757862436173j),(0.0005086468039505461+0.6946465926268769j),(-0.433120644271733+0.5898876382352463j),(0.018302809950219073+0.45609067150145394j),(-0.34495791656392394+0.4200355759473705j),(0.0123130104187794+0.6245669887773787j),(-0.22926278426710123+0.8303081928731897j),(-0.01882061142326963+0.7826509642044175j),(-0.09672093591059844+0.7508011851854015j),(5.72983988077252+0.9729229900945738j),(-0.06511633337111232+0.8424430277818243j),(0.37596976886969036+0.9539118395469606j),(-0.10616869431883012+1.2070076233224096j),(-0.3736040914932286+1.4787405527853736j),(-0.12291578726316146+1.1595466556880112j),(-0.23998686759519003+1.4471671742835126j),(-0.07738801928958913+1.1096679725763259j),(0.015245066170391305+1.3279673186540881j),(-0.1380054834516321+1.404801466447246j),(-0.02999354938743592+1.45210954189052j),(-0.1263074858096305+1.2631229271631854j),(0.3964196829744192+1.7978632792133504j),(-0.3638589239221448+1.079081607020566j),(15.467585041140875-11.294258988056173j),(-0.3054321582516121+3.9191911692614707j),(-2.0700634425840336+4.548370625514606j),(-0.3600877994639324+5.156654457475026j),(-1.2513804815023817+10.29417616484171j)
2,(-0.7092357427529776+2.305782496630359j),(-0.022712631802724387+0.7002876890602666j),(-0.3926450714634104+0.5898325674439363j),(-0.04573740849268368+0.36528955423669074j),(-0.18083448976423003+0.9100746631505326j),(-0.0888749854046809+0.9734778689981685j),(-0.11242918943725647+0.7372557096021853j),(-0.06772976859176175+0.6932736005286168j),(0.0056243567664237435+0.7818032444155818j),(5.915038380755996+0.9835940824933789j),(0.15487191801161848+1.0606701587921823j),(-0.24402540663914757+1.2923107562126597j),(-0.09452225300136657+1.2176621999593389j),(-0.14750423740243207+1.0753543512186392j),(-0.028532482602562723+1.2118259568552516j),(-0.2362869332256992+1.2508210446470955j),(-0.11497266787806125+1.5075845821678353j),(0.0036928397616113524+1.4516206935282479j),(0.28214950081960194+1.5330661913631014j),(-0.180067825940951+1.5415368290830735j),(0.07252500540799563+1.3373322829263568j),(-0.44302476219342984+1.5896217081872055j),(-0.2594456115339723+0.8770999680776986j),(11.444374871106685-11.095179953311746j),(-0.32006158937418344+3.798525327774266j),(-1.5596068442857987+3.482465914525823j),(0.05806169067735452+5.048841139747926j),(-1.150753167809981+7.126386848215302j)
3,(-0.6495770530404451+2.189810849021271j),(0.023122429074204264+0.6366523251170747j),(-0.4204054528806789+0.5982136769010284j),(0.022999375541539805+0.411018030757911j),(-0.030348338272891615+0.8838939023646903j),(-0.3077901913565071+0.4216207287060107j),(-0.14838580276854893+0.7652951562756348j),(-0.03184405672883734+0.7340748710146754j),(0.0167704864235664+0.7964006995832322j),(6.229155593856324+1.057935692883226j),(-0.137800379870756+1.0576748228223476j),(0.06931149040054246+1.2009787162800036j),(-0.04719442018483996+1.26960802302494j),(0.148367846164625+1.5369176386648826j),(0.01670714775909174+1.3031599491686157j),(-0.1470041905964851+1.5808117238443944j),(-0.15807506013779096+1.3288443413643307j),(-0.26591246383473544+1.6339997158129693j),(-0.013021905358143725+1.7455648533237407j),(0.062468536621411594+1.5249683212415526j),(-0.05386152310260449+1.3084586381611394j),(0.24027371379431042+1.6896989951081516j),(-0.009078446793078516+0.7231883437703834j),(9.239473341145793-9.625869218266457j),(-0.14069157798987453+4.010678584087632j),(-1.0861916298974528+3.5366069613918842j),(-0.1421184947202318+5.629474069783161j),(1.0956625750950233+6.547291300395202j)
4,(-0.6208606918833041+2.272411563469299j),(0.03476181812566106+0.6410820573716984j),(-0.36995151019046263+0.6217272225003195j),(0.03424900575349607+0.3980213598915672j),(-0.15576455544291962+0.5878601445742543j),(0.1908874050630158+0.6203679743125945j),(-0.029309261094807318+0.6933750473922022j),(-0.08151398706204158+0.7308348953712746j),(-0.06821519642947715+0.6822263794897693j),(6.482107893995722+1.024456106585077j),(-0.35519935025424554+0.7995024422265359j),(0.018503881112846534+1.2413427095748868j),(-0.031977304040124215+1.2578713287970653j),(0.11324817227640219+1.3817394491340236j),(-0.30782069603627965+1.3025364877703687j),(-0.32417458889021217+1.036059861648195j),(0.23832816289445796+1.5539074802858754j),(-0.0669994668747226+1.345031177266622j),(0.03357589627541973+1.6249278982552557j),(-0.03129257532384683+1.410869831196659j),(0.302354475599529+1.3683503427557375j),(0.14799419556367596+1.6520138872928392j),(-0.37102545828709804+1.3426269094063334j),(8.243189520359593-8.846396982856705j),(-0.18224587274786128+4.057581154614734j),(-0.5092255004990116+4.606398241560041j),(-0.05943788846658091+5.548591409818945j),(-1.5444484849338747+9.515331394869598j)
5,(-0.581329606329503+2.3968746450154796j),(-0.03493694207000735+0.718709884153968j),(-0.33024263657623737+0.6374180117411302j),(-0.046351949653664064+0.3936328678565329j),(-0.36092131002396455+0.7053643255612003j),(0.1264627122496487+0.5820392978540345j),(-0.11568699977321892+0.666986984735168j),(-0.014802987194242999+0.9129148772808777j),(0.034781368846036914+0.8033006470480204j),(6.647520585957977+0.840491262493782j),(-0.012677150187540037+0.47924351986767594j),(0.025935528996085786+1.6125851717505897j),(-0.10742020945122757+1.3341889283576338j),(0.015384711560677987+1.5571774864715267j),(-0.049305445541820724+1.2680058190123737j),(-0.3299742302744021+1.8184720323066943j),(0.15494405468510852+1.284337146322091j),(-0.030220022602258454+1.549394218393427j),(-0.2703142346057132+1.8401260018163683j),(-0.06031172001863865+1.4300884790300146j),(0.7515729491062634+1.1441660465642587j),(0.06631926163637644+1.6156279334347512j),(-0.29818996667778197+1.3508111067894046j),(7.332983773911302-7.890018635721407j),(0.11952509947502761+3.964388827785502j),(-2.1599539266465024+3.177509703184189j),(0.2116804974450787+5.434116954932879j),(-1.7791696886014003+5.300958971297292j)
6,(-0.6311665722876717+2.2900624470577964j),(-0.013663275450472039+0.7302341943074689j),(-0.40615421552526065+0.6334427287792375j),(-0.03814725126589753+0.4549360675259362j),(-0.12779237145919886+0.3615833924825186j),(0.310935629318734+0.6759047198407746j),(0.02822263363710439+0.7478024310737964j),(-0.087134333237496+0.7928491543749647j),(-0.05508762304935821+0.7115373282924394j),(6.84467541935891+0.855914323967087j),(-0.141961825605329+0.9642016515054725j),(0.28423890829999604+1.1997996143438616j),(-0.09591693479900582+1.2703652483273244j),(-0.10191598325576877+1.5828428789978473j),(0.11590352019573448+1.2231141206583462j),(-0.07347026813407108+1.3219913053813537j),(-0.17024386589391194+1.2153113986269102j),(0.07663406738278684+1.3338060829626286j),(-0.39952091498624437+1.7634107907581569j),(-0.01597410314620472+1.4804307061488513j),(0.4382008140309522+1.5646530283904971j),(0.23835599633495538+1.6264850355632996j),(-0.014081061296318025+1.1801899401501859j),(6.822209619909718-7.090297273701824j),(0.5299665729243431+3.4625566912910584j),(1.025397530240995+4.629696094785675j),(-0.19598225771303107+5.3748308060123815j),(-4.035149607566765+7.269784403236j)
7,(-0.653914603133747+2.3298958487711108j),(0.09601756807502636+0.7755971942027948j),(-0.41518879518306634+0.6770250899281228j),(0.08303343485915897+0.44293996287586884j),(-0.2860161296146276+0.8265824306006635j),(-0.22470829664350656+0.7792187829962713j),(-0.07075656131767137+1.007359944473311j),(-0.03384686468671086+0.9243129378938343j),(0.08347736045654382+0.8297949630677034j),(7.271736811915878+0.9392482840087334j),(-0.31298929200854153+0.9430663195580347j),(0.03299617490374264+1.6176572101470144j),(0.010218128128691275+1.3264151629569767j),(0.14403688235130618+1.4710233102778314j),(0.0822006876352207+1.1343817819725701j),(-0.25331700306563293+1.3925855086060035j),(0.21872885524705107+1.771647154345564j),(-0.0829594425494028+1.5416245148713428j),(0.30811939604631366+1.6782052605929916j),(0.019360967809456918+1.560158942275598j),(-0.09769624097291307+1.5324897231637082j),(-0.11323872016974898+1.8378948120506533j),(0.11538427120212724+1.3190236549087433j),(6.252764257140751-6.22960564181821j),(0.04052626374941308+3.822924738404589j),(-0.6640585834193469+5.058652918934239j),(-0.17608549672549598+5.6070754717384395j),(0.31896395066569133+7.103487851823289j)
8,(-0.6592586141314318+2.287751384144267j),(-0.017320710444350112+0.8205162923151611j),(-0.38740866448306044+0.7080575048557718j),(0.05256735696987353+0.4508767244071137j),(0.2590233324137367+0.6845433581482459j),(0.4241580610482177+0.6928670745843258j),(0.06626259127660347+0.9771037175682081j),(0.009037140986368078+0.8688735660257023j),(0.034226801986401545+0.8069381632644477j),(7.495479894782463+0.9906537950742118j),(-0.030379325289956325+0.9479175969587318j),(-0.28828267992044987+0.9862382964890885j),(-0.014930015350151551+1.3707508668620434j),(0.2710731702588759+1.5590451743314313j),(-0.1473108792848827+1.40371826270892j),(-0.20245405816024606+1.6103193836318426j),(0.15430994673354892+1.7005198785611377j),(0.12121077621886502+1.4263191022637216j),(-0.10059832716357492+1.9610804637195791j),(0.1278994351377911+1.7249708474796956j),(-0.13696078688175076+1.6549323825768976j),(0.5587958501965463+1.8159236306168016j),(0.38466869225892125+0.8602985117886808j),(6.033591676272313-5.767809061484708j),(0.0046008367891899144+3.9810347453849544j),(-1.1897311468478073+4.156603252203035j),(0.24875095815719728+5.562127858682453j),(-1.6986562706584658+5.423794868553189j)
9,(-0.6808983671311205+2.3646455551249312j),(-0.004223256744335695+0.8363621420777051j),(-0.40273265331575087+0.7202675583136178j),(0.025651091174547773+0.3732555020055265j),(0.2770735367972094-0.12535360493250733j),(-0.3331762068195974+0.8092548818384981j),(0.18527579455363208+0.8363921215513898j),(0.11923840014667549+0.8531564264267676j),(0.02785778076898356+0.8322910392493875j),(7.983921052229779+0.8641624792259547j),(-0.42825056360513586+0.82965188136238j),(0.17363888059092356+1.727281996135869j),(0.07677648391621282+1.3200674064157836j),(0.47862295282976197+1.4952463941839724j),(0.02195249064985253+1.4793121285983384j),(-0.28970808723027497+1.573105748720004j),(0.08742353662118985+1.5022768692773174j),(0.2949784563108641+1.7142374321872818j),(0.6096900024369019+1.9681678860408267j),(0.12361125901104639+1.5585600797792714j),(-0.4335453747775963+1.566045472720329j),(0.22750172363008164+1.767522030749144j),(0.04864432557056707+0.9798854554551043j),(5.768044752574493-5.374147967181116j),(0.16179288486445167+3.9499622018380225j),(0.6765861686494896+4.931707076187424j),(0.19174613278416075+5.510906940626534j),(-0.3323217601973073+6.158799184199714j)
