imag_component,real_component,ace_imag,ace_real,ala_imag,ala_real,asc_imag,asc_real,asp_imag,asp_real,cr_imag,cr_real,gaba_imag,gaba_real,glc_imag,glc_real,gln_imag,gln_real,glu_imag,glu_real,gly_imag,gly_real,gpc_imag,gpc_real,gsh_imag,gsh_real,ins_imag,ins_real,lac_imag,lac_real,mac_imag,mac_real,naa_imag,naa_real,naag_imag,naag_real,pcho_imag,pcho_real,pcr_imag,pcr_real,pe_imag,pe_real,tau_imag,tau_real
103.3927,267.47846,0,3.1,0.0349232,2.76948,0.008175,3.83645,-0.0702146,2.15358,0,5.1,-0.230559,3.52703,-0.0502647,6.04065,-0.0693404,3.7043,-0.0748989,3.98117,0,2.1,0.0001458,17.0275,-0.0752768,7.81558,-0.0390023,5.14642,0.0073232,3.00444,0,20.0413,-0.0831638,5.1053,-0.224074,8.76237,-0.0000022,12.1419,0,5.1,-0.0000545,3.0188,-0.0000003,3.92162
208.88067,475.03965,-1.59678,2.64385,-1.42542,2.32882,-0.535391,3.75273,-0.743603,1.96453,-1.29079,4.88653,-1.69438,3.02771,-1.1307,5.84801,-1.52477,3.31052,-1.68829,3.54059,-0.501071,2.01362,-3.73395,16.5247,-2.28032,7.33567,-1.10891,4.97092,-1.55383,2.46977,-18.0639,34.7734,-2.17914,4.53334,-3.72912,7.74945,-3.01571,11.7003,-1.27955,4.88867,-0.671965,2.93129,-1.04146,3.74859
362.25272,321.30861,-2.71081,1.43054,-2.3524,1.14757,-1.00486,3.55094,-1.2641,1.545,-2.42154,4.30688,-2.74068,1.94527,-2.09067,5.39009,-2.62719,2.33625,-2.90009,2.44091,-0.922272,1.79222,-7.17433,15.1185,-4.10262,6.11545,-2.06206,4.54745,-2.46839,1.12847,-30.3467,21.239,-3.73589,3.05849,-6.31912,5.24486,-5.75696,10.4661,-2.40047,4.3152,-1.25819,2.66288,-1.95482,3.28968
427.01,128.03404,-3.02747,-0.162387,-2.42666,-0.310499,-1.37467,3.29898,-1.56116,1.00605,-3.29101,3.46988,-3.16489,0.567995,-2.87196,4.75142,-3.16554,1.03219,-3.46486,0.969323,-1.23139,1.5065,-10.1,12.9639,-5.29828,4.40768,-2.84305,3.95894,-2.391,-0.449748,-33.6745,4.21295,-4.3988,1.07242,-7.41362,1.89018,-8.0196,8.59008,-3.26274,3.48772,-1.7125,2.28873,-2.66771,2.63528
382.59452,-45.193075,-2.4882,-1.6623,-1.67091,-1.49577,-1.67567,3.05325,-1.64101,0.461769,-3.87128,2.49477,-2.94375,-0.773043,-3.47799,4.0125,-3.08888,-0.299391,-3.32066,-0.522752,-1.4536,1.21745,-12.3773,10.2526,-5.77815,2.52336,-3.45758,3.28345,-1.40217,-1.61465,-28.0563,-10.8767,-4.06495,-0.926798,-6.82989,-1.49316,-9.68596,6.25744,-3.83935,2.52442,-2.04834,1.87846,-3.17214,1.87632
283.18186,-169.44901,-1.28593,-2.65651,-0.420981,-1.99438,-1.96387,2.82007,-1.55936,-0.0180605,-4.18255,1.46619,-2.21233,-1.80773,-3.94407,3.20967,-2.49137,-1.39695,-2.57727,-1.72545,-1.64063,0.937475,-13.9399,7.16465,-5.59473,0.744536,-3.94261,2.55414,0.0434083,-1.91468,-16.448,-19.8098,-2.88375,-2.481,-4.79905,-4.12823,-10.7051,3.63911,-4.15098,1.50867,-2.3091,1.45641,-3.4962,1.0631
146.28181,-214.82825,0.22043,-2.90534,0.826816,-1.67732,-2.27105,2.55632,-1.37233,-0.416902,-4.24744,0.426855,-1.1913,-2.38612,-4.2893,2.33388,-1.55318,-2.09374,-1.45319,-2.43781,-1.82175,0.630679,-14.7485,3.85555,-4.88844,-0.725738,-4.31804,1.75836,1.32645,-1.27522,-3.44199,-20.9394,-1.18409,-3.28067,-1.86991,-5.46644,-11.0515,0.879505,-4.22029,0.481836,-2.51998,1.00058,-3.65688,0.202684
21.188766,-194.57061,1.62458,-2.38281,1.61537,-0.723391,-2.57492,2.20854,-1.10349,-0.741329,-4.06217,-0.592142,-0.109183,-2.47974,-4.4873,1.36771,-0.477585,-2.32257,-0.202854,-2.58214,-1.97413,0.251486,-14.7652,0.481186,-3.83238,-1.76723,-4.5574,0.874801,1.92737,-0.0058442,6.60672,-15.4821,0.628282,-3.21021,1.24906,-5.28694,-10.6998,-1.87901,-4.0431,-0.526225,-2.65879,0.479923,-3.63132,-0.705774
-58.501753,-121.136,2.57741,-1.2526,1.68788,0.475585,-2.81139,1.76062,-0.749801,-0.980465,-3.60713,-1.53227,0.845038,-2.14631,-4.47866,0.330857,0.545331,-2.09201,0.933247,-2.18375,-2.03528,-0.208198,-13.9668,-2.77013,-2.60437,-2.32197,-4.60027,-0.0806939,1.62801,1.35079,11.0776,-6.67001,2.16217,-2.33913,3.85452,-3.70893,-9.63682,-4.46364,-3.59897,-1.45798,-2.66832,-0.100033,-3.36933,-1.62727
-69.095521,-45.315643,2.85452,0.190588,1.05622,1.47243,-2.91978,1.2537,-0.31842,-1.09029,-2.88765,-2.29528,1.53328,-1.49257,-4.21568,-0.702053,1.34703,-1.46588,1.75034,-1.34673,-1.94825,-0.699569,-12.3856,-5.67255,-1.38523,-2.38113,-4.39708,-1.03706,0.574574,2.24893,9.78765,1.69473,3.1046,-0.886504,5.38543,-1.14009,-7.90294,-6.6659,-2.89219,-2.2158,-2.50105,-0.679176,-2.83762,-2.47481
